"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Caulerpa lamourouxii (Turner) C.Agardh, 1817";"Caulerpa lamourouxii";"non-indigenous";;;"CY,EL"
"Caulerpa taxifolia (M.Vahl) C.Agardh, 1817";"Caulerpa taxifolia";"non-indigenous";;;"HR,FR,IT,ES"
"Caulerpa taxifolia var. distichophylla (Sonder) Verlaque, Huisman & Procaccini, 2013";"Caulerpa taxifolia var. distichophylla";"non-indigenous";;;"CY,EL,IT"
"Caulerpa webbiana Montagne, 1837";"Caulerpa webbiana";"non-indigenous";;;"PT"
"Caulibugula zanzibariensis (Waters, 1913)";"Caulibugula zanzibariensis";"non-indigenous";;;"FR"
"Caulleriella viridis (Langerhans, 1881)";"Caulleriella viridis";"non-indigenous";;;"EL"
"Celleporaria aperta (Hincks, 1882)";"Celleporaria aperta";"non-indigenous";;;"MT"
"Celleporaria brunnea (Hincks, 1884)";"Celleporaria brunnea";"non-indigenous";;;"IT"
"Celleporaria pilaefera (Canu & Bassler, 1929)";"Celleporaria pilaefera";"non-indigenous";;;"MT"
"Celleporella carolinensis Ryland, 1979";"Celleporella carolinensis";"non-indigenous";;;"IT"
"Celtodoryx ciocalyptoides (Burton, 1935)";"Celtodoryx ciocalyptoides";"non-indigenous";;;"FR,NL"
"Centropages furcatus (Dana, 1849)";"Centropages furcatus";"non-indigenous";;;"EL"
"Cephalopholis hemistiktos (Rüppell, 1830)";"Cephalopholis hemistiktos";"non-indigenous";;;"MT"
"Cephalopholis taeniops (Valenciennes, 1828)";"Cephalopholis taeniops";"non-indigenous";;;"IT"
"Cephalothrix simula Iwata, 1952";"Cephalothrix simula";"non-indigenous";;;"ES"
"Ceramium bisporum D.L.Ballantine, 1990";"Ceramium bisporum";"non-indigenous";;;"EL"
"Ceramium cimbricum H.E.Petersen, 1924";"Ceramium cimbricum";"cryptogenic";"DE";;
"Ceramium cingulatum Weber-van Bosse, 1923";"Ceramium cingulatum";"non-indigenous";;;"PT,ES"
"Ceramium graecum Lazaridou & Boudouresque, 1992";"Ceramium graecum";"cryptogenic";"EL";;
