"locality";"locationID";"higherGeography";"MRGID";"placeType";"latitude";"longitude";"minLongitude";"maxLongitude";"minLatitude";"maxLatitude"
"India";"http://marineregions.org/mrgid/2128";"India";2128;"Nation";"21.12572";"82.76238";"68.14423";"97.38054";"6.745827";"35.50562"
"Sea of Japan";"http://marineregions.org/mrgid/4307";"Japan Sea/East Sea";4307;"IHO Sea Area";"40.5084302428";"135.13274500727";"125.8013889";"142.2638347153";"32.57501368363";"51.74733316939"
"Madagascar";"http://marineregions.org/mrgid/7963";"Madagascar";7963;"Nation";"-18.76694";"46.86911";"43.23683";"50.50139";"-25.58834";"-11.94555"
"Sri Lanka";"http://marineregions.org/mrgid/2195";"Sri Lanka";2195;"Nation";"7.873123";"80.79388";"79.69609";"81.89166";"5.918055";"9.828191"
"West Africa";"http://marineregions.org/mrgid/14311";;14311;"General Region";"-2.81137";"8.4375";;;;
"Hossegor Lake";"http://marineregions.org/mrgid/14670";"Bay of Biscay";14670;"Inlet";"43.6538";"-1.4379";;;;
"Zeebrugge";"http://marineregions.org/mrgid/2551";"Belgium";2551;"Deelgemeente";"51.33185";"3.20845";"3.2009";"3.216";"51.3282";"51.3355"
"Veerse Meer";"http://marineregions.org/mrgid/14640";"Netherlands";14640;"Lake";"51.548149";"3.7455";"3.6275";"3.8635";"51.508499";"51.587799"
"Bidasoa";"http://marineregions.org/mrgid/21274";"Bay of Biscay";21274;"River";"43.372778";"-1.791944";;;;
"Wales";"http://marineregions.org/mrgid/3281";"United Kingdom";3281;"Country";"52.407";"-4.03185";"-5.4115";"-2.6522";"51.374";"53.44"
"Contis-plage";"http://marineregions.org/mrgid/17468";"France";17468;"Town";"44.1";"-1.31667";"-1.31";"-1.33";"44.09";"44.1"
"Geul van Baarland";"http://marineregions.org/mrgid/4810";"North Sea";4810;"Swale";"51.3833333";"3.9166667";;;;
"Bath";"http://marineregions.org/mrgid/14660";"Netherlands";14660;"Village";"51.40167";"4.20972";"4.21317";"4.2048";"51.39704";"51.40641"
"Mond van de Dollard";"http://marineregions.org/mrgid/17492";"Wadden Sea";17492;"Channel";"53.31667";"7.08333";;;;
"Eendracht";"http://marineregions.org/mrgid/17518";"Netherlands";17518;"Canal";"51.38333";"4.26667";;;;
"Krammer";"http://marineregions.org/mrgid/17675";"Netherlands";17675;"Channel";"51.66667";"4.16667";;;;
"Walsoorden";"http://marineregions.org/mrgid/9104";"Netherlands";9104;"Village";"51.3838";"4.0321";"4.02";"4.04";"51.38";"51.39"
"Guetaria";"http://marineregions.org/mrgid/17606";"Spain";17606;"Town";"43.30326";"-2.20444";;;;
"Ría de Betanzos";"http://marineregions.org/mrgid/17824";"Spain";17824;"Estuary";"43.38333";"-8.25";;;;
"Noord-Beveland";"http://marineregions.org/mrgid/198";"Netherlands";198;"Island";"51.56666666";"3.8";;;;
"Bray-Dunes";"http://marineregions.org/mrgid/877";"France";877;"Commune";"51.07456";"2.526585";"2.49376";"2.55941";"51.06006";"51.08906"
"Burghsluis";"http://marineregions.org/mrgid/14720";"Netherlands";14720;"Village";"51.68";"3.75";"3.76";"3.74";"51.67";"51.68"
